Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,12.102,15.133,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
1,drone_1,13.498,15.828,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
1,drone_2,11.689,16.658,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
1,drone_3,12.154,17.310,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
1,drone_4,12.909,17.871,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
1,drone_5,12.134,16.093,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
1,drone_6,14.454,16.311,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
1,drone_7,13.432,17.095,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
1,drone_8,14.450,15.500,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
1,drone_9,12.956,16.677,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
2,drone_0,11.981,15.011,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
2,drone_1,13.356,15.687,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
2,drone_2,11.584,16.553,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
2,drone_3,12.154,17.162,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
2,drone_4,12.787,17.750,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
2,drone_5,12.012,15.972,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
2,drone_6,14.333,16.189,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
2,drone_7,13.432,16.946,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
2,drone_8,14.329,15.378,11.108,7.190,"17.013004728991806,10.064000528661806,0.6087244760499573;10.583362802758527,18.413358011787544,0.35393741272281853;7.7505232430436175,12.779663888566391,0.40613177624360397;9.024582084910948,14.296219095154036,0.40642522534671754;6.20334549391531,17.925399166620284,1.8396802458847459;15.142229084411312,5.689765471512487,1.199436831537554;7.496455627442204,9.673524881202933,0.2695599211184547;4.696017330364533,17.245972440609357,2.2937834632720095;13.177283321371306,3.9631736898840746,0.4676580326002289;14.922010505865106,17.865697477617502,1.2989706352967016;6.196564239007739,2.1090216677287903,0.33557696572117746;6.282557920572295,14.943902512489585,2.4456019006121767;17.01254329702273,19.2302079602905,0.7601736459465541;10.754832456739136,17.603335672471204,0.334662334586002;6.744507868312717,13.206922815911373,1.9508559331471949;1.9861140979961764,15.094993552496009,1.2499352332067133;7.561415679706627,12.507710539957614,1.3902292941248922;15.098731220001989,8.0300050442205,0.3461008286731239;0.6754829587432423,0.6353647797416274,0.4820848724135664;16.0810105952841,16.242069792866634,0.36957408617928755;12.561082396751045,14.992744990516803,0.2403469874641914;4.802272152550383,11.942934734058618,0.9716376851323905;4.590705733086643,18.302039776140106,0.4365764381202416;16.074198505731108,15.75985763573304,1.2216132303944287;4.347157812730956,14.92185770610769,1.2624859894674696;9.287750573620318,15.324495817833451,0.2182349273432051;11.69559452766661,2.39985810621979,1.9907526357212921"
