Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
6,drone_8,10.6542,15.0286,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
6,drone_9,10.1119,14.5325,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
7,drone_0,10.1382,14.8037,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
7,drone_1,12.0598,14.4051,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
7,drone_2,10.7371,14.4555,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
7,drone_3,10.7332,12.4455,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
7,drone_4,9.3288,13.5492,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
7,drone_5,10.7561,13.8760,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
7,drone_6,11.1353,12.8139,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
7,drone_7,9.6353,14.1487,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
7,drone_8,10.7655,14.9173,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
7,drone_9,10.2067,14.4377,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
8,drone_0,10.2409,14.7010,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
8,drone_1,12.2013,14.2637,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
8,drone_2,10.8398,14.3528,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
8,drone_3,10.8638,12.3150,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
8,drone_4,9.4593,13.4187,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
8,drone_5,10.8766,13.7554,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
8,drone_6,11.2658,12.6834,12.4779,6.4455,"4.554,14.065,0.389;10.055,10.724,1.198;5.796,2.634,1.262;14.001,10.570,1.081;7.143,9.910,0.284;2.474,2.116,0.250;19.170,5.958,0.362;12.430,12.814,0.268;0.361,1.831,0.247;13.536,16.834,0.340;16.112,17.331,1.531;9.054,4.671,0.320;5.772,6.731,0.400;4.609,6.139,2.046;7.953,0.771,1.179;2.298,5.309,2.232;17.839,14.146,0.496;2.177,7.415,0.952;10.574,2.088,0.458;3.779,18.581,0.977;12.736,17.548,2.134;2.320,9.208,1.342;18.794,15.097,1.007;18.144,13.421,0.464;13.927,10.437,1.287;7.334,3.859,1.713;8.390,17.912,0.488;3.493,19.719,0.365;13.906,0.966,0.849;6.552,15.009,1.373;8.011,2.241,1.266;9.121,6.786,0.225;3.065,1.432,0.401;14.633,9.454,0.470;19.823,14.100,0.301;16.927,5.725,0.295;2.847,16.687,0.474;5.798,0.777,0.804;2.045,12.385,0.870;17.940,17.204,0.490;8.523,10.635,0.762;18.821,14.109,0.789;14.358,2.400,0.765;15.623,19.182,0.415;16.676,0.959,1.213;4.848,1.152,0.395;9.044,9.374,1.977;12.036,15.702,0.241;7.112,18.262,1.248;5.374,17.815,0.421;17.584,2.660,0.780;13.738,3.913,0.385;8.356,1.136,1.646;14.305,12.956,0.372;8.088,2.191,2.420;17.051,7.266,1.209"
