Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
7,drone_5,10.068,17.688,9.452,2.566,"8.11783907473493,5.5587416533343665,0.7637489949738155;16.554266587589783,9.533597754529119,2.3746106022582105;7.4646099940710195,7.369376136078895,0.7289516192399476;11.44542319160556,7.041290659640534,1.0721208354604121;7.9880091950801955,12.125135712331938,0.34939004785061256;9.761506234435313,13.238204884287036,1.8044323210597595;17.10218211256866,4.284912675476832,0.7708019396952599;11.967579856139382,16.32988040831521,0.24783130481638324;15.479736141226677,2.7091557760832736,0.6160100585656122;13.756646169396088,16.069777738130313,0.7100343067762507;11.06291295775371,13.658487832711963,1.2828465753008707;11.94252776977498,7.482593953771373,0.6463191132096597;6.295986304630806,7.224510803808148,2.300321475922102;4.298742803423194,15.456840069799254,1.3442300485448304;12.058148623541879,15.268828650921614,1.0061339457627132;12.456148278267863,9.187095638387902,1.3178889789745138;17.68445608711772,15.33047688750784,0.21736056986524838;18.183057288115787,18.447193660300034,0.29869854261729273;6.954253146599991,9.628653095080416,2.1580766502575006;6.875090348699525,18.506446885508893,1.1372711466804748;7.027345034278752,15.73700220843314,1.694072430742901;1.361051415675236,8.382345667337917,0.4369904173770636;1.0288762718930564,5.199827890238342,0.44005984735540693;3.308867548335803,15.505869406849735,0.2075476966564337;4.394398429168314,1.5922925164713468,0.228600023133504;6.073102941186591,10.602756065737246,0.25850708697181274;2.837905559424374,9.28588845833489,0.7269497657994489;10.836448409583735,15.329018380847497,1.398069490679485;12.05287683131699,7.779462843470137,1.2642230229433138"
7,drone_6,17.260,5.393,9.452,2.566,"8.11783907473493,5.5587416533343665,0.7637489949738155;16.554266587589783,9.533597754529119,2.3746106022582105;7.4646099940710195,7.369376136078895,0.7289516192399476;11.44542319160556,7.041290659640534,1.0721208354604121;7.9880091950801955,12.125135712331938,0.34939004785061256;9.761506234435313,13.238204884287036,1.8044323210597595;17.10218211256866,4.284912675476832,0.7708019396952599;11.967579856139382,16.32988040831521,0.24783130481638324;15.479736141226677,2.7091557760832736,0.6160100585656122;13.756646169396088,16.069777738130313,0.7100343067762507;11.06291295775371,13.658487832711963,1.2828465753008707;11.94252776977498,7.482593953771373,0.6463191132096597;6.295986304630806,7.224510803808148,2.300321475922102;4.298742803423194,15.456840069799254,1.3442300485448304;12.058148623541879,15.268828650921614,1.0061339457627132;12.456148278267863,9.187095638387902,1.3178889789745138;17.68445608711772,15.33047688750784,0.21736056986524838;18.183057288115787,18.447193660300034,0.29869854261729273;6.954253146599991,9.628653095080416,2.1580766502575006;6.875090348699525,18.506446885508893,1.1372711466804748;7.027345034278752,15.73700220843314,1.694072430742901;1.361051415675236,8.382345667337917,0.4369904173770636;1.0288762718930564,5.199827890238342,0.44005984735540693;3.308867548335803,15.505869406849735,0.2075476966564337;4.394398429168314,1.5922925164713468,0.228600023133504;6.073102941186591,10.602756065737246,0.25850708697181274;2.837905559424374,9.28588845833489,0.7269497657994489;10.836448409583735,15.329018380847497,1.398069490679485;12.05287683131699,7.779462843470137,1.2642230229433138"
7,drone_7,17.079,2.069,9.452,2.566,"8.11783907473493,5.5587416533343665,0.7637489949738155;16.554266587589783,9.533597754529119,2.3746106022582105;7.4646099940710195,7.369376136078895,0.7289516192399476;11.44542319160556,7.041290659640534,1.0721208354604121;7.9880091950801955,12.125135712331938,0.34939004785061256;9.761506234435313,13.238204884287036,1.8044323210597595;17.10218211256866,4.284912675476832,0.7708019396952599;11.967579856139382,16.32988040831521,0.24783130481638324;15.479736141226677,2.7091557760832736,0.6160100585656122;13.756646169396088,16.069777738130313,0.7100343067762507;11.06291295775371,13.658487832711963,1.2828465753008707;11.94252776977498,7.482593953771373,0.6463191132096597;6.295986304630806,7.224510803808148,2.300321475922102;4.298742803423194,15.456840069799254,1.3442300485448304;12.058148623541879,15.268828650921614,1.0061339457627132;12.456148278267863,9.187095638387902,1.3178889789745138;17.68445608711772,15.33047688750784,0.21736056986524838;18.183057288115787,18.447193660300034,0.29869854261729273;6.954253146599991,9.628653095080416,2.1580766502575006;6.875090348699525,18.506446885508893,1.1372711466804748;7.027345034278752,15.73700220843314,1.694072430742901;1.361051415675236,8.382345667337917,0.4369904173770636;1.0288762718930564,5.199827890238342,0.44005984735540693;3.308867548335803,15.505869406849735,0.2075476966564337;4.394398429168314,1.5922925164713468,0.228600023133504;6.073102941186591,10.602756065737246,0.25850708697181274;2.837905559424374,9.28588845833489,0.7269497657994489;10.836448409583735,15.329018380847497,1.398069490679485;12.05287683131699,7.779462843470137,1.2642230229433138"
7,drone_8,10.828,17.370,9.452,2.566,"8.11783907473493,5.5587416533343665,0.7637489949738155;16.554266587589783,9.533597754529119,2.3746106022582105;7.4646099940710195,7.369376136078895,0.7289516192399476;11.44542319160556,7.041290659640534,1.0721208354604121;7.9880091950801955,12.125135712331938,0.34939004785061256;9.761506234435313,13.238204884287036,1.8044323210597595;17.10218211256866,4.284912675476832,0.7708019396952599;11.967579856139382,16.32988040831521,0.24783130481638324;15.479736141226677,2.7091557760832736,0.6160100585656122;13.756646169396088,16.069777738130313,0.7100343067762507;11.06291295775371,13.658487832711963,1.2828465753008707;11.94252776977498,7.482593953771373,0.6463191132096597;6.295986304630806,7.224510803808148,2.300321475922102;4.298742803423194,15.456840069799254,1.3442300485448304;12.058148623541879,15.268828650921614,1.0061339457627132;12.456148278267863,9.187095638387902,1.3178889789745138;17.68445608711772,15.33047688750784,0.21736056986524838;18.183057288115787,18.447193660300034,0.29869854261729273;6.954253146599991,9.628653095080416,2.1580766502575006;6.875090348699525,18.506446885508893,1.1372711466804748;7.027345034278752,15.73700220843314,1.694072430742901;1.361051415675236,8.382345667337917,0.4369904173770636;1.0288762718930564,5.199827890238342,0.44005984735540693;3.308867548335803,15.505869406849735,0.2075476966564337;4.394398429168314,1.5922925164713468,0.228600023133504;6.073102941186591,10.602756065737246,0.25850708697181274;2.837905559424374,9.28588845833489,0.7269497657994489;10.836448409583735,15.329018380847497,1.398069490679485;12.05287683131699,7.779462843470137,1.2642230229433138"
7,drone_9,11.675,16.991,9.452,2.566,"8.11783907473493,5.5587416533343665,0.7637489949738155;16.554266587589783,9.533597754529119,2.3746106022582105;7.4646099940710195,7.369376136078895,0.7289516192399476;11.44542319160556,7.041290659640534,1.0721208354604121;7.9880091950801955,12.125135712331938,0.34939004785061256;9.761506234435313,13.238204884287036,1.8044323210597595;17.10218211256866,4.284912675476832,0.7708019396952599;11.967579856139382,16.32988040831521,0.24783130481638324;15.479736141226677,2.7091557760832736,0.6160100585656122;13.756646169396088,16.069777738130313,0.7100343067762507;11.06291295775371,13.658487832711963,1.2828465753008707;11.94252776977498,7.482593953771373,0.6463191132096597;6.295986304630806,7.224510803808148,2.300321475922102;4.298742803423194,15.456840069799254,1.3442300485448304;12.058148623541879,15.268828650921614,1.0061339457627132;12.456148278267863,9.187095638387902,1.3178889789745138;17.68445608711772,15.33047688750784,0.21736056986524838;18.183057288115787,18.447193660300034,0.29869854261729273;6.954253146599991,9.628653095080416,2.1580766502575006;6.875090348699525,18.506446885508893,1.1372711466804748;7.027345034278752,15.73700220843314,1.694072430742901;1.361051415675236,8.382345667337917,0.4369904173770636;1.0288762718930564,5.199827890238342,0.44005984735540693;3.308867548335803,15.505869406849735,0.2075476966564337;4.394398429168314,1.5922925164713468,0.228600023133504;6.073102941186591,10.602756065737246,0.25850708697181274;2.837905559424374,9.28588845833489,0.7269497657994489;10.836448409583735,15.329018380847497,1.398069490679485;12.05287683131699,7.779462843470137,1.2642230229433138"
8,drone_0,12.719,17.144,9.452,2.566,"8.11783907473493,5.5587416533343665,0.7637489949738155;16.554266587589783,9.533597754529119,2.3746106022582105;7.4646099940710195,7.369376136078895,0.7289516192399476;11.44542319160556,7.041290659640534,1.0721208354604121;7.9880091950801955,12.125135712331938,0.34939004785061256;9.761506234435313,13.238204884287036,1.8044323210597595;17.10218211256866,4.284912675476832,0.7708019396952599;11.967579856139382,16.32988040831521,0.24783130481638324;15.479736141226677,2.7091557760832736,0.6160100585656122;13.756646169396088,16.069777738130313,0.7100343067762507;11.06291295775371,13.658487832711963,1.2828465753008707;11.94252776977498,7.482593953771373,0.6463191132096597;6.295986304630806,7.224510803808148,2.300321475922102;4.298742803423194,15.456840069799254,1.3442300485448304;12.058148623541879,15.268828650921614,1.0061339457627132;12.456148278267863,9.187095638387902,1.3178889789745138;17.68445608711772,15.33047688750784,0.21736056986524838;18.183057288115787,18.447193660300034,0.29869854261729273;6.954253146599991,9.628653095080416,2.1580766502575006;6.875090348699525,18.506446885508893,1.1372711466804748;7.027345034278752,15.73700220843314,1.694072430742901;1.361051415675236,8.382345667337917,0.4369904173770636;1.0288762718930564,5.199827890238342,0.44005984735540693;3.308867548335803,15.505869406849735,0.2075476966564337;4.394398429168314,1.5922925164713468,0.228600023133504;6.073102941186591,10.602756065737246,0.25850708697181274;2.837905559424374,9.28588845833489,0.7269497657994489;10.836448409583735,15.329018380847497,1.398069490679485;12.05287683131699,7.779462843470137,1.2642230229433138"
8,drone_1,3.030,13.710,9.452,2.566,"8.11783907473493,5.5587416533343665,0.7637489949738155;16.554266587589783,9.533597754529119,2.3746106022582105;7.4646099940710195,7.369376136078895,0.7289516192399476;11.44542319160556,7.041290659640534,1.0721208354604121;7.9880091950801955,12.125135712331938,0.34939004785061256;9.761506234435313,13.238204884287036,1.8044323210597595;17.10218211256866,4.284912675476832,0.7708019396952599;11.967579856139382,16.32988040831521,0.24783130481638324;15.479736141226677,2.7091557760832736,0.6160100585656122;13.756646169396088,16.069777738130313,0.7100343067762507;11.06291295775371,13.658487832711963,1.2828465753008707;11.94252776977498,7.482593953771373,0.6463191132096597;6.295986304630806,7.224510803808148,2.300321475922102;4.298742803423194,15.456840069799254,1.3442300485448304;12.058148623541879,15.268828650921614,1.0061339457627132;12.456148278267863,9.187095638387902,1.3178889789745138;17.68445608711772,15.33047688750784,0.21736056986524838;18.183057288115787,18.447193660300034,0.29869854261729273;6.954253146599991,9.628653095080416,2.1580766502575006;6.875090348699525,18.506446885508893,1.1372711466804748;7.027345034278752,15.73700220843314,1.694072430742901;1.361051415675236,8.382345667337917,0.4369904173770636;1.0288762718930564,5.199827890238342,0.44005984735540693;3.308867548335803,15.505869406849735,0.2075476966564337;4.394398429168314,1.5922925164713468,0.228600023133504;6.073102941186591,10.602756065737246,0.25850708697181274;2.837905559424374,9.28588845833489,0.7269497657994489;10.836448409583735,15.329018380847497,1.398069490679485;12.05287683131699,7.779462843470137,1.2642230229433138"
8,drone_2,16.438,5.782,9.452,2.566,"8.11783907473493,5.5587416533343665,0.7637489949738155;16.554266587589783,9.533597754529119,2.3746106022582105;7.4646099940710195,7.369376136078895,0.7289516192399476;11.44542319160556,7.041290659640534,1.0721208354604121;7.9880091950801955,12.125135712331938,0.34939004785061256;9.761506234435313,13.238204884287036,1.8044323210597595;17.10218211256866,4.284912675476832,0.7708019396952599;11.967579856139382,16.32988040831521,0.24783130481638324;15.479736141226677,2.7091557760832736,0.6160100585656122;13.756646169396088,16.069777738130313,0.7100343067762507;11.06291295775371,13.658487832711963,1.2828465753008707;11.94252776977498,7.482593953771373,0.6463191132096597;6.295986304630806,7.224510803808148,2.300321475922102;4.298742803423194,15.456840069799254,1.3442300485448304;12.058148623541879,15.268828650921614,1.0061339457627132;12.456148278267863,9.187095638387902,1.3178889789745138;17.68445608711772,15.33047688750784,0.21736056986524838;18.183057288115787,18.447193660300034,0.29869854261729273;6.954253146599991,9.628653095080416,2.1580766502575006;6.875090348699525,18.506446885508893,1.1372711466804748;7.027345034278752,15.73700220843314,1.694072430742901;1.361051415675236,8.382345667337917,0.4369904173770636;1.0288762718930564,5.199827890238342,0.44005984735540693;3.308867548335803,15.505869406849735,0.2075476966564337;4.394398429168314,1.5922925164713468,0.228600023133504;6.073102941186591,10.602756065737246,0.25850708697181274;2.837905559424374,9.28588845833489,0.7269497657994489;10.836448409583735,15.329018380847497,1.398069490679485;12.05287683131699,7.779462843470137,1.2642230229433138"
8,drone_3,9.402,16.968,9.452,2.566,"8.11783907473493,5.5587416533343665,0.7637489949738155;16.554266587589783,9.533597754529119,2.3746106022582105;7.4646099940710195,7.369376136078895,0.7289516192399476;11.44542319160556,7.041290659640534,1.0721208354604121;7.9880091950801955,12.125135712331938,0.34939004785061256;9.761506234435313,13.238204884287036,1.8044323210597595;17.10218211256866,4.284912675476832,0.7708019396952599;11.967579856139382,16.32988040831521,0.24783130481638324;15.479736141226677,2.7091557760832736,0.6160100585656122;13.756646169396088,16.069777738130313,0.7100343067762507;11.06291295775371,13.658487832711963,1.2828465753008707;11.94252776977498,7.482593953771373,0.6463191132096597;6.295986304630806,7.224510803808148,2.300321475922102;4.298742803423194,15.456840069799254,1.3442300485448304;12.058148623541879,15.268828650921614,1.0061339457627132;12.456148278267863,9.187095638387902,1.3178889789745138;17.68445608711772,15.33047688750784,0.21736056986524838;18.183057288115787,18.447193660300034,0.29869854261729273;6.954253146599991,9.628653095080416,2.1580766502575006;6.875090348699525,18.506446885508893,1.1372711466804748;7.027345034278752,15.73700220843314,1.694072430742901;1.361051415675236,8.382345667337917,0.4369904173770636;1.0288762718930564,5.199827890238342,0.44005984735540693;3.308867548335803,15.505869406849735,0.2075476966564337;4.394398429168314,1.5922925164713468,0.228600023133504;6.073102941186591,10.602756065737246,0.25850708697181274;2.837905559424374,9.28588845833489,0.7269497657994489;10.836448409583735,15.329018380847497,1.398069490679485;12.05287683131699,7.779462843470137,1.2642230229433138"
8,drone_4,-100.000,-100.000,9.452,2.566,"8.11783907473493,5.5587416533343665,0.7637489949738155;16.554266587589783,9.533597754529119,2.3746106022582105;7.4646099940710195,7.369376136078895,0.7289516192399476;11.44542319160556,7.041290659640534,1.0721208354604121;7.9880091950801955,12.125135712331938,0.34939004785061256;9.761506234435313,13.238204884287036,1.8044323210597595;17.10218211256866,4.284912675476832,0.7708019396952599;11.967579856139382,16.32988040831521,0.24783130481638324;15.479736141226677,2.7091557760832736,0.6160100585656122;13.756646169396088,16.069777738130313,0.7100343067762507;11.06291295775371,13.658487832711963,1.2828465753008707;11.94252776977498,7.482593953771373,0.6463191132096597;6.295986304630806,7.224510803808148,2.300321475922102;4.298742803423194,15.456840069799254,1.3442300485448304;12.058148623541879,15.268828650921614,1.0061339457627132;12.456148278267863,9.187095638387902,1.3178889789745138;17.68445608711772,15.33047688750784,0.21736056986524838;18.183057288115787,18.447193660300034,0.29869854261729273;6.954253146599991,9.628653095080416,2.1580766502575006;6.875090348699525,18.506446885508893,1.1372711466804748;7.027345034278752,15.73700220843314,1.694072430742901;1.361051415675236,8.382345667337917,0.4369904173770636;1.0288762718930564,5.199827890238342,0.44005984735540693;3.308867548335803,15.505869406849735,0.2075476966564337;4.394398429168314,1.5922925164713468,0.228600023133504;6.073102941186591,10.602756065737246,0.25850708697181274;2.837905559424374,9.28588845833489,0.7269497657994489;10.836448409583735,15.329018380847497,1.398069490679485;12.05287683131699,7.779462843470137,1.2642230229433138"
