Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
16,drone_0,5.315,3.664,12.923,8.371,"10.964438877031249,11.924385596123493,1.1956342953097172;14.310546430034433,12.726520017130424,0.8382351530676525;9.047001650558187,9.215072961168252,0.8425782744881559;6.308147894416449,16.07696064305845,0.2983053795336721;17.87694742362057,4.261630201302264,0.3279238678782283;2.5515409871462613,12.86991657413727,0.46667380405934544;13.226667982381983,18.2767392670119,1.037518376306341;3.5520977744096953,6.333843162530427,0.9486106146808131;1.252124447786574,16.374340559810786,0.45010865386417426;19.254223793076935,7.0820514216129675,0.6694782402339996;7.2690438481557145,14.571845269227111,2.380741179893087;13.419932754097987,11.90535965649663,0.3718818825096411;2.8814154699022856,3.821839684783854,0.8338120843464499;9.104839852724771,16.253431582642946,1.03351452689096;4.130031186878463,13.512749257008164,0.2427155497259089;3.8258567443196894,16.67492039122738,0.21254898091010282;11.704451438017035,17.6273216507935,2.1414833263435478;16.414581914706655,17.954754512550288,0.7747108411180759;1.031118586547977,16.41169552348909,0.9366236701009344;14.143266848531555,1.593361407653818,1.3755736190178411;9.937625603153315,14.84324936156964,0.8798486723653118;15.596458730743182,7.97550474596593,0.22123541684667325;8.950803075420824,12.787488080549725,0.7398869165645291;14.895136378779604,12.776544408075077,0.7986640789093022;1.9127998528161412,14.602949146754167,1.3055156641987091;8.250633860311426,8.713954137166564,0.3775832503892915;7.728615780708892,12.126651797161067,0.23030975645490925;14.571203887908716,14.501784355792307,0.7571469979667986"
16,drone_1,8.208,17.736,12.923,8.371,"10.964438877031249,11.924385596123493,1.1956342953097172;14.310546430034433,12.726520017130424,0.8382351530676525;9.047001650558187,9.215072961168252,0.8425782744881559;6.308147894416449,16.07696064305845,0.2983053795336721;17.87694742362057,4.261630201302264,0.3279238678782283;2.5515409871462613,12.86991657413727,0.46667380405934544;13.226667982381983,18.2767392670119,1.037518376306341;3.5520977744096953,6.333843162530427,0.9486106146808131;1.252124447786574,16.374340559810786,0.45010865386417426;19.254223793076935,7.0820514216129675,0.6694782402339996;7.2690438481557145,14.571845269227111,2.380741179893087;13.419932754097987,11.90535965649663,0.3718818825096411;2.8814154699022856,3.821839684783854,0.8338120843464499;9.104839852724771,16.253431582642946,1.03351452689096;4.130031186878463,13.512749257008164,0.2427155497259089;3.8258567443196894,16.67492039122738,0.21254898091010282;11.704451438017035,17.6273216507935,2.1414833263435478;16.414581914706655,17.954754512550288,0.7747108411180759;1.031118586547977,16.41169552348909,0.9366236701009344;14.143266848531555,1.593361407653818,1.3755736190178411;9.937625603153315,14.84324936156964,0.8798486723653118;15.596458730743182,7.97550474596593,0.22123541684667325;8.950803075420824,12.787488080549725,0.7398869165645291;14.895136378779604,12.776544408075077,0.7986640789093022;1.9127998528161412,14.602949146754167,1.3055156641987091;8.250633860311426,8.713954137166564,0.3775832503892915;7.728615780708892,12.126651797161067,0.23030975645490925;14.571203887908716,14.501784355792307,0.7571469979667986"
16,drone_2,6.969,10.060,12.923,8.371,"10.964438877031249,11.924385596123493,1.1956342953097172;14.310546430034433,12.726520017130424,0.8382351530676525;9.047001650558187,9.215072961168252,0.8425782744881559;6.308147894416449,16.07696064305845,0.2983053795336721;17.87694742362057,4.261630201302264,0.3279238678782283;2.5515409871462613,12.86991657413727,0.46667380405934544;13.226667982381983,18.2767392670119,1.037518376306341;3.5520977744096953,6.333843162530427,0.9486106146808131;1.252124447786574,16.374340559810786,0.45010865386417426;19.254223793076935,7.0820514216129675,0.6694782402339996;7.2690438481557145,14.571845269227111,2.380741179893087;13.419932754097987,11.90535965649663,0.3718818825096411;2.8814154699022856,3.821839684783854,0.8338120843464499;9.104839852724771,16.253431582642946,1.03351452689096;4.130031186878463,13.512749257008164,0.2427155497259089;3.8258567443196894,16.67492039122738,0.21254898091010282;11.704451438017035,17.6273216507935,2.1414833263435478;16.414581914706655,17.954754512550288,0.7747108411180759;1.031118586547977,16.41169552348909,0.9366236701009344;14.143266848531555,1.593361407653818,1.3755736190178411;9.937625603153315,14.84324936156964,0.8798486723653118;15.596458730743182,7.97550474596593,0.22123541684667325;8.950803075420824,12.787488080549725,0.7398869165645291;14.895136378779604,12.776544408075077,0.7986640789093022;1.9127998528161412,14.602949146754167,1.3055156641987091;8.250633860311426,8.713954137166564,0.3775832503892915;7.728615780708892,12.126651797161067,0.23030975645490925;14.571203887908716,14.501784355792307,0.7571469979667986"
16,drone_3,16.760,11.561,12.923,8.371,"10.964438877031249,11.924385596123493,1.1956342953097172;14.310546430034433,12.726520017130424,0.8382351530676525;9.047001650558187,9.215072961168252,0.8425782744881559;6.308147894416449,16.07696064305845,0.2983053795336721;17.87694742362057,4.261630201302264,0.3279238678782283;2.5515409871462613,12.86991657413727,0.46667380405934544;13.226667982381983,18.2767392670119,1.037518376306341;3.5520977744096953,6.333843162530427,0.9486106146808131;1.252124447786574,16.374340559810786,0.45010865386417426;19.254223793076935,7.0820514216129675,0.6694782402339996;7.2690438481557145,14.571845269227111,2.380741179893087;13.419932754097987,11.90535965649663,0.3718818825096411;2.8814154699022856,3.821839684783854,0.8338120843464499;9.104839852724771,16.253431582642946,1.03351452689096;4.130031186878463,13.512749257008164,0.2427155497259089;3.8258567443196894,16.67492039122738,0.21254898091010282;11.704451438017035,17.6273216507935,2.1414833263435478;16.414581914706655,17.954754512550288,0.7747108411180759;1.031118586547977,16.41169552348909,0.9366236701009344;14.143266848531555,1.593361407653818,1.3755736190178411;9.937625603153315,14.84324936156964,0.8798486723653118;15.596458730743182,7.97550474596593,0.22123541684667325;8.950803075420824,12.787488080549725,0.7398869165645291;14.895136378779604,12.776544408075077,0.7986640789093022;1.9127998528161412,14.602949146754167,1.3055156641987091;8.250633860311426,8.713954137166564,0.3775832503892915;7.728615780708892,12.126651797161067,0.23030975645490925;14.571203887908716,14.501784355792307,0.7571469979667986"
16,drone_4,5.448,7.767,12.923,8.371,"10.964438877031249,11.924385596123493,1.1956342953097172;14.310546430034433,12.726520017130424,0.8382351530676525;9.047001650558187,9.215072961168252,0.8425782744881559;6.308147894416449,16.07696064305845,0.2983053795336721;17.87694742362057,4.261630201302264,0.3279238678782283;2.5515409871462613,12.86991657413727,0.46667380405934544;13.226667982381983,18.2767392670119,1.037518376306341;3.5520977744096953,6.333843162530427,0.9486106146808131;1.252124447786574,16.374340559810786,0.45010865386417426;19.254223793076935,7.0820514216129675,0.6694782402339996;7.2690438481557145,14.571845269227111,2.380741179893087;13.419932754097987,11.90535965649663,0.3718818825096411;2.8814154699022856,3.821839684783854,0.8338120843464499;9.104839852724771,16.253431582642946,1.03351452689096;4.130031186878463,13.512749257008164,0.2427155497259089;3.8258567443196894,16.67492039122738,0.21254898091010282;11.704451438017035,17.6273216507935,2.1414833263435478;16.414581914706655,17.954754512550288,0.7747108411180759;1.031118586547977,16.41169552348909,0.9366236701009344;14.143266848531555,1.593361407653818,1.3755736190178411;9.937625603153315,14.84324936156964,0.8798486723653118;15.596458730743182,7.97550474596593,0.22123541684667325;8.950803075420824,12.787488080549725,0.7398869165645291;14.895136378779604,12.776544408075077,0.7986640789093022;1.9127998528161412,14.602949146754167,1.3055156641987091;8.250633860311426,8.713954137166564,0.3775832503892915;7.728615780708892,12.126651797161067,0.23030975645490925;14.571203887908716,14.501784355792307,0.7571469979667986"
16,drone_5,7.235,10.834,12.923,8.371,"10.964438877031249,11.924385596123493,1.1956342953097172;14.310546430034433,12.726520017130424,0.8382351530676525;9.047001650558187,9.215072961168252,0.8425782744881559;6.308147894416449,16.07696064305845,0.2983053795336721;17.87694742362057,4.261630201302264,0.3279238678782283;2.5515409871462613,12.86991657413727,0.46667380405934544;13.226667982381983,18.2767392670119,1.037518376306341;3.5520977744096953,6.333843162530427,0.9486106146808131;1.252124447786574,16.374340559810786,0.45010865386417426;19.254223793076935,7.0820514216129675,0.6694782402339996;7.2690438481557145,14.571845269227111,2.380741179893087;13.419932754097987,11.90535965649663,0.3718818825096411;2.8814154699022856,3.821839684783854,0.8338120843464499;9.104839852724771,16.253431582642946,1.03351452689096;4.130031186878463,13.512749257008164,0.2427155497259089;3.8258567443196894,16.67492039122738,0.21254898091010282;11.704451438017035,17.6273216507935,2.1414833263435478;16.414581914706655,17.954754512550288,0.7747108411180759;1.031118586547977,16.41169552348909,0.9366236701009344;14.143266848531555,1.593361407653818,1.3755736190178411;9.937625603153315,14.84324936156964,0.8798486723653118;15.596458730743182,7.97550474596593,0.22123541684667325;8.950803075420824,12.787488080549725,0.7398869165645291;14.895136378779604,12.776544408075077,0.7986640789093022;1.9127998528161412,14.602949146754167,1.3055156641987091;8.250633860311426,8.713954137166564,0.3775832503892915;7.728615780708892,12.126651797161067,0.23030975645490925;14.571203887908716,14.501784355792307,0.7571469979667986"
16,drone_6,3.258,9.370,12.923,8.371,"10.964438877031249,11.924385596123493,1.1956342953097172;14.310546430034433,12.726520017130424,0.8382351530676525;9.047001650558187,9.215072961168252,0.8425782744881559;6.308147894416449,16.07696064305845,0.2983053795336721;17.87694742362057,4.261630201302264,0.3279238678782283;2.5515409871462613,12.86991657413727,0.46667380405934544;13.226667982381983,18.2767392670119,1.037518376306341;3.5520977744096953,6.333843162530427,0.9486106146808131;1.252124447786574,16.374340559810786,0.45010865386417426;19.254223793076935,7.0820514216129675,0.6694782402339996;7.2690438481557145,14.571845269227111,2.380741179893087;13.419932754097987,11.90535965649663,0.3718818825096411;2.8814154699022856,3.821839684783854,0.8338120843464499;9.104839852724771,16.253431582642946,1.03351452689096;4.130031186878463,13.512749257008164,0.2427155497259089;3.8258567443196894,16.67492039122738,0.21254898091010282;11.704451438017035,17.6273216507935,2.1414833263435478;16.414581914706655,17.954754512550288,0.7747108411180759;1.031118586547977,16.41169552348909,0.9366236701009344;14.143266848531555,1.593361407653818,1.3755736190178411;9.937625603153315,14.84324936156964,0.8798486723653118;15.596458730743182,7.97550474596593,0.22123541684667325;8.950803075420824,12.787488080549725,0.7398869165645291;14.895136378779604,12.776544408075077,0.7986640789093022;1.9127998528161412,14.602949146754167,1.3055156641987091;8.250633860311426,8.713954137166564,0.3775832503892915;7.728615780708892,12.126651797161067,0.23030975645490925;14.571203887908716,14.501784355792307,0.7571469979667986"
16,drone_7,6.032,7.508,12.923,8.371,"10.964438877031249,11.924385596123493,1.1956342953097172;14.310546430034433,12.726520017130424,0.8382351530676525;9.047001650558187,9.215072961168252,0.8425782744881559;6.308147894416449,16.07696064305845,0.2983053795336721;17.87694742362057,4.261630201302264,0.3279238678782283;2.5515409871462613,12.86991657413727,0.46667380405934544;13.226667982381983,18.2767392670119,1.037518376306341;3.5520977744096953,6.333843162530427,0.9486106146808131;1.252124447786574,16.374340559810786,0.45010865386417426;19.254223793076935,7.0820514216129675,0.6694782402339996;7.2690438481557145,14.571845269227111,2.380741179893087;13.419932754097987,11.90535965649663,0.3718818825096411;2.8814154699022856,3.821839684783854,0.8338120843464499;9.104839852724771,16.253431582642946,1.03351452689096;4.130031186878463,13.512749257008164,0.2427155497259089;3.8258567443196894,16.67492039122738,0.21254898091010282;11.704451438017035,17.6273216507935,2.1414833263435478;16.414581914706655,17.954754512550288,0.7747108411180759;1.031118586547977,16.41169552348909,0.9366236701009344;14.143266848531555,1.593361407653818,1.3755736190178411;9.937625603153315,14.84324936156964,0.8798486723653118;15.596458730743182,7.97550474596593,0.22123541684667325;8.950803075420824,12.787488080549725,0.7398869165645291;14.895136378779604,12.776544408075077,0.7986640789093022;1.9127998528161412,14.602949146754167,1.3055156641987091;8.250633860311426,8.713954137166564,0.3775832503892915;7.728615780708892,12.126651797161067,0.23030975645490925;14.571203887908716,14.501784355792307,0.7571469979667986"
16,drone_8,3.877,2.636,12.923,8.371,"10.964438877031249,11.924385596123493,1.1956342953097172;14.310546430034433,12.726520017130424,0.8382351530676525;9.047001650558187,9.215072961168252,0.8425782744881559;6.308147894416449,16.07696064305845,0.2983053795336721;17.87694742362057,4.261630201302264,0.3279238678782283;2.5515409871462613,12.86991657413727,0.46667380405934544;13.226667982381983,18.2767392670119,1.037518376306341;3.5520977744096953,6.333843162530427,0.9486106146808131;1.252124447786574,16.374340559810786,0.45010865386417426;19.254223793076935,7.0820514216129675,0.6694782402339996;7.2690438481557145,14.571845269227111,2.380741179893087;13.419932754097987,11.90535965649663,0.3718818825096411;2.8814154699022856,3.821839684783854,0.8338120843464499;9.104839852724771,16.253431582642946,1.03351452689096;4.130031186878463,13.512749257008164,0.2427155497259089;3.8258567443196894,16.67492039122738,0.21254898091010282;11.704451438017035,17.6273216507935,2.1414833263435478;16.414581914706655,17.954754512550288,0.7747108411180759;1.031118586547977,16.41169552348909,0.9366236701009344;14.143266848531555,1.593361407653818,1.3755736190178411;9.937625603153315,14.84324936156964,0.8798486723653118;15.596458730743182,7.97550474596593,0.22123541684667325;8.950803075420824,12.787488080549725,0.7398869165645291;14.895136378779604,12.776544408075077,0.7986640789093022;1.9127998528161412,14.602949146754167,1.3055156641987091;8.250633860311426,8.713954137166564,0.3775832503892915;7.728615780708892,12.126651797161067,0.23030975645490925;14.571203887908716,14.501784355792307,0.7571469979667986"
16,drone_9,7.197,8.979,12.923,8.371,"10.964438877031249,11.924385596123493,1.1956342953097172;14.310546430034433,12.726520017130424,0.8382351530676525;9.047001650558187,9.215072961168252,0.8425782744881559;6.308147894416449,16.07696064305845,0.2983053795336721;17.87694742362057,4.261630201302264,0.3279238678782283;2.5515409871462613,12.86991657413727,0.46667380405934544;13.226667982381983,18.2767392670119,1.037518376306341;3.5520977744096953,6.333843162530427,0.9486106146808131;1.252124447786574,16.374340559810786,0.45010865386417426;19.254223793076935,7.0820514216129675,0.6694782402339996;7.2690438481557145,14.571845269227111,2.380741179893087;13.419932754097987,11.90535965649663,0.3718818825096411;2.8814154699022856,3.821839684783854,0.8338120843464499;9.104839852724771,16.253431582642946,1.03351452689096;4.130031186878463,13.512749257008164,0.2427155497259089;3.8258567443196894,16.67492039122738,0.21254898091010282;11.704451438017035,17.6273216507935,2.1414833263435478;16.414581914706655,17.954754512550288,0.7747108411180759;1.031118586547977,16.41169552348909,0.9366236701009344;14.143266848531555,1.593361407653818,1.3755736190178411;9.937625603153315,14.84324936156964,0.8798486723653118;15.596458730743182,7.97550474596593,0.22123541684667325;8.950803075420824,12.787488080549725,0.7398869165645291;14.895136378779604,12.776544408075077,0.7986640789093022;1.9127998528161412,14.602949146754167,1.3055156641987091;8.250633860311426,8.713954137166564,0.3775832503892915;7.728615780708892,12.126651797161067,0.23030975645490925;14.571203887908716,14.501784355792307,0.7571469979667986"
