Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
2,drone_3,3.556,2.308,7.346,13.051,"17.347538911507385,1.2226690076527025,1.2223207135351852;10.495167724800083,9.375466106843982,0.7622108799379942;16.829405801758128,5.979976717095672,0.38752208507875074;11.74508407510876,6.862495108434085,0.7746430497169536;5.364692191569435,11.217723881903565,0.4913585146169696;3.1245622576926975,12.144055697327056,0.7670752644140931;10.337224186065031,15.697677141961139,0.8867520683441806;3.5326717511663643,4.0302536173508505,0.29813383802249843;2.067416893043684,5.829934544737628,0.9720087140730334;15.223418866891754,17.546421812861404,0.3343115931112452;17.153017728136483,10.917706742338712,1.8243038787153716;12.24138398385674,8.37086548055676,0.9438610915295211;15.661359408772,6.067717442427838,2.2661385361252298;12.81943600125953,4.513092065484777,0.4513227686524731;5.962755302217662,9.909337034699398,1.2395022275442473;2.0149284688500955,14.703153792112616,0.2847965602412821;12.73666890644397,14.759637007070658,0.2632326012065245;18.376007493123314,13.497645377083535,0.2769204695229818;11.492632110021997,11.10338750770131,1.738213059360671;7.188218838719877,16.75085073670879,0.3960477975779271;6.800828065384994,16.94095922328021,1.799666839518324;2.3648054846990365,5.742367863677848,1.1712819298949562;16.8418056295843,18.440903143368697,1.2191791015908193"
2,drone_4,6.374,4.981,7.346,13.051,"17.347538911507385,1.2226690076527025,1.2223207135351852;10.495167724800083,9.375466106843982,0.7622108799379942;16.829405801758128,5.979976717095672,0.38752208507875074;11.74508407510876,6.862495108434085,0.7746430497169536;5.364692191569435,11.217723881903565,0.4913585146169696;3.1245622576926975,12.144055697327056,0.7670752644140931;10.337224186065031,15.697677141961139,0.8867520683441806;3.5326717511663643,4.0302536173508505,0.29813383802249843;2.067416893043684,5.829934544737628,0.9720087140730334;15.223418866891754,17.546421812861404,0.3343115931112452;17.153017728136483,10.917706742338712,1.8243038787153716;12.24138398385674,8.37086548055676,0.9438610915295211;15.661359408772,6.067717442427838,2.2661385361252298;12.81943600125953,4.513092065484777,0.4513227686524731;5.962755302217662,9.909337034699398,1.2395022275442473;2.0149284688500955,14.703153792112616,0.2847965602412821;12.73666890644397,14.759637007070658,0.2632326012065245;18.376007493123314,13.497645377083535,0.2769204695229818;11.492632110021997,11.10338750770131,1.738213059360671;7.188218838719877,16.75085073670879,0.3960477975779271;6.800828065384994,16.94095922328021,1.799666839518324;2.3648054846990365,5.742367863677848,1.1712819298949562;16.8418056295843,18.440903143368697,1.2191791015908193"
2,drone_5,4.024,3.096,7.346,13.051,"17.347538911507385,1.2226690076527025,1.2223207135351852;10.495167724800083,9.375466106843982,0.7622108799379942;16.829405801758128,5.979976717095672,0.38752208507875074;11.74508407510876,6.862495108434085,0.7746430497169536;5.364692191569435,11.217723881903565,0.4913585146169696;3.1245622576926975,12.144055697327056,0.7670752644140931;10.337224186065031,15.697677141961139,0.8867520683441806;3.5326717511663643,4.0302536173508505,0.29813383802249843;2.067416893043684,5.829934544737628,0.9720087140730334;15.223418866891754,17.546421812861404,0.3343115931112452;17.153017728136483,10.917706742338712,1.8243038787153716;12.24138398385674,8.37086548055676,0.9438610915295211;15.661359408772,6.067717442427838,2.2661385361252298;12.81943600125953,4.513092065484777,0.4513227686524731;5.962755302217662,9.909337034699398,1.2395022275442473;2.0149284688500955,14.703153792112616,0.2847965602412821;12.73666890644397,14.759637007070658,0.2632326012065245;18.376007493123314,13.497645377083535,0.2769204695229818;11.492632110021997,11.10338750770131,1.738213059360671;7.188218838719877,16.75085073670879,0.3960477975779271;6.800828065384994,16.94095922328021,1.799666839518324;2.3648054846990365,5.742367863677848,1.1712819298949562;16.8418056295843,18.440903143368697,1.2191791015908193"
2,drone_6,5.931,3.598,7.346,13.051,"17.347538911507385,1.2226690076527025,1.2223207135351852;10.495167724800083,9.375466106843982,0.7622108799379942;16.829405801758128,5.979976717095672,0.38752208507875074;11.74508407510876,6.862495108434085,0.7746430497169536;5.364692191569435,11.217723881903565,0.4913585146169696;3.1245622576926975,12.144055697327056,0.7670752644140931;10.337224186065031,15.697677141961139,0.8867520683441806;3.5326717511663643,4.0302536173508505,0.29813383802249843;2.067416893043684,5.829934544737628,0.9720087140730334;15.223418866891754,17.546421812861404,0.3343115931112452;17.153017728136483,10.917706742338712,1.8243038787153716;12.24138398385674,8.37086548055676,0.9438610915295211;15.661359408772,6.067717442427838,2.2661385361252298;12.81943600125953,4.513092065484777,0.4513227686524731;5.962755302217662,9.909337034699398,1.2395022275442473;2.0149284688500955,14.703153792112616,0.2847965602412821;12.73666890644397,14.759637007070658,0.2632326012065245;18.376007493123314,13.497645377083535,0.2769204695229818;11.492632110021997,11.10338750770131,1.738213059360671;7.188218838719877,16.75085073670879,0.3960477975779271;6.800828065384994,16.94095922328021,1.799666839518324;2.3648054846990365,5.742367863677848,1.1712819298949562;16.8418056295843,18.440903143368697,1.2191791015908193"
2,drone_7,5.824,2.761,7.346,13.051,"17.347538911507385,1.2226690076527025,1.2223207135351852;10.495167724800083,9.375466106843982,0.7622108799379942;16.829405801758128,5.979976717095672,0.38752208507875074;11.74508407510876,6.862495108434085,0.7746430497169536;5.364692191569435,11.217723881903565,0.4913585146169696;3.1245622576926975,12.144055697327056,0.7670752644140931;10.337224186065031,15.697677141961139,0.8867520683441806;3.5326717511663643,4.0302536173508505,0.29813383802249843;2.067416893043684,5.829934544737628,0.9720087140730334;15.223418866891754,17.546421812861404,0.3343115931112452;17.153017728136483,10.917706742338712,1.8243038787153716;12.24138398385674,8.37086548055676,0.9438610915295211;15.661359408772,6.067717442427838,2.2661385361252298;12.81943600125953,4.513092065484777,0.4513227686524731;5.962755302217662,9.909337034699398,1.2395022275442473;2.0149284688500955,14.703153792112616,0.2847965602412821;12.73666890644397,14.759637007070658,0.2632326012065245;18.376007493123314,13.497645377083535,0.2769204695229818;11.492632110021997,11.10338750770131,1.738213059360671;7.188218838719877,16.75085073670879,0.3960477975779271;6.800828065384994,16.94095922328021,1.799666839518324;2.3648054846990365,5.742367863677848,1.1712819298949562;16.8418056295843,18.440903143368697,1.2191791015908193"
2,drone_8,4.816,4.213,7.346,13.051,"17.347538911507385,1.2226690076527025,1.2223207135351852;10.495167724800083,9.375466106843982,0.7622108799379942;16.829405801758128,5.979976717095672,0.38752208507875074;11.74508407510876,6.862495108434085,0.7746430497169536;5.364692191569435,11.217723881903565,0.4913585146169696;3.1245622576926975,12.144055697327056,0.7670752644140931;10.337224186065031,15.697677141961139,0.8867520683441806;3.5326717511663643,4.0302536173508505,0.29813383802249843;2.067416893043684,5.829934544737628,0.9720087140730334;15.223418866891754,17.546421812861404,0.3343115931112452;17.153017728136483,10.917706742338712,1.8243038787153716;12.24138398385674,8.37086548055676,0.9438610915295211;15.661359408772,6.067717442427838,2.2661385361252298;12.81943600125953,4.513092065484777,0.4513227686524731;5.962755302217662,9.909337034699398,1.2395022275442473;2.0149284688500955,14.703153792112616,0.2847965602412821;12.73666890644397,14.759637007070658,0.2632326012065245;18.376007493123314,13.497645377083535,0.2769204695229818;11.492632110021997,11.10338750770131,1.738213059360671;7.188218838719877,16.75085073670879,0.3960477975779271;6.800828065384994,16.94095922328021,1.799666839518324;2.3648054846990365,5.742367863677848,1.1712819298949562;16.8418056295843,18.440903143368697,1.2191791015908193"
2,drone_9,5.390,5.075,7.346,13.051,"17.347538911507385,1.2226690076527025,1.2223207135351852;10.495167724800083,9.375466106843982,0.7622108799379942;16.829405801758128,5.979976717095672,0.38752208507875074;11.74508407510876,6.862495108434085,0.7746430497169536;5.364692191569435,11.217723881903565,0.4913585146169696;3.1245622576926975,12.144055697327056,0.7670752644140931;10.337224186065031,15.697677141961139,0.8867520683441806;3.5326717511663643,4.0302536173508505,0.29813383802249843;2.067416893043684,5.829934544737628,0.9720087140730334;15.223418866891754,17.546421812861404,0.3343115931112452;17.153017728136483,10.917706742338712,1.8243038787153716;12.24138398385674,8.37086548055676,0.9438610915295211;15.661359408772,6.067717442427838,2.2661385361252298;12.81943600125953,4.513092065484777,0.4513227686524731;5.962755302217662,9.909337034699398,1.2395022275442473;2.0149284688500955,14.703153792112616,0.2847965602412821;12.73666890644397,14.759637007070658,0.2632326012065245;18.376007493123314,13.497645377083535,0.2769204695229818;11.492632110021997,11.10338750770131,1.738213059360671;7.188218838719877,16.75085073670879,0.3960477975779271;6.800828065384994,16.94095922328021,1.799666839518324;2.3648054846990365,5.742367863677848,1.1712819298949562;16.8418056295843,18.440903143368697,1.2191791015908193"
3,drone_0,4.304,5.125,7.346,13.051,"17.347538911507385,1.2226690076527025,1.2223207135351852;10.495167724800083,9.375466106843982,0.7622108799379942;16.829405801758128,5.979976717095672,0.38752208507875074;11.74508407510876,6.862495108434085,0.7746430497169536;5.364692191569435,11.217723881903565,0.4913585146169696;3.1245622576926975,12.144055697327056,0.7670752644140931;10.337224186065031,15.697677141961139,0.8867520683441806;3.5326717511663643,4.0302536173508505,0.29813383802249843;2.067416893043684,5.829934544737628,0.9720087140730334;15.223418866891754,17.546421812861404,0.3343115931112452;17.153017728136483,10.917706742338712,1.8243038787153716;12.24138398385674,8.37086548055676,0.9438610915295211;15.661359408772,6.067717442427838,2.2661385361252298;12.81943600125953,4.513092065484777,0.4513227686524731;5.962755302217662,9.909337034699398,1.2395022275442473;2.0149284688500955,14.703153792112616,0.2847965602412821;12.73666890644397,14.759637007070658,0.2632326012065245;18.376007493123314,13.497645377083535,0.2769204695229818;11.492632110021997,11.10338750770131,1.738213059360671;7.188218838719877,16.75085073670879,0.3960477975779271;6.800828065384994,16.94095922328021,1.799666839518324;2.3648054846990365,5.742367863677848,1.1712819298949562;16.8418056295843,18.440903143368697,1.2191791015908193"
3,drone_1,5.364,3.875,7.346,13.051,"17.347538911507385,1.2226690076527025,1.2223207135351852;10.495167724800083,9.375466106843982,0.7622108799379942;16.829405801758128,5.979976717095672,0.38752208507875074;11.74508407510876,6.862495108434085,0.7746430497169536;5.364692191569435,11.217723881903565,0.4913585146169696;3.1245622576926975,12.144055697327056,0.7670752644140931;10.337224186065031,15.697677141961139,0.8867520683441806;3.5326717511663643,4.0302536173508505,0.29813383802249843;2.067416893043684,5.829934544737628,0.9720087140730334;15.223418866891754,17.546421812861404,0.3343115931112452;17.153017728136483,10.917706742338712,1.8243038787153716;12.24138398385674,8.37086548055676,0.9438610915295211;15.661359408772,6.067717442427838,2.2661385361252298;12.81943600125953,4.513092065484777,0.4513227686524731;5.962755302217662,9.909337034699398,1.2395022275442473;2.0149284688500955,14.703153792112616,0.2847965602412821;12.73666890644397,14.759637007070658,0.2632326012065245;18.376007493123314,13.497645377083535,0.2769204695229818;11.492632110021997,11.10338750770131,1.738213059360671;7.188218838719877,16.75085073670879,0.3960477975779271;6.800828065384994,16.94095922328021,1.799666839518324;2.3648054846990365,5.742367863677848,1.1712819298949562;16.8418056295843,18.440903143368697,1.2191791015908193"
3,drone_2,5.324,2.241,7.346,13.051,"17.347538911507385,1.2226690076527025,1.2223207135351852;10.495167724800083,9.375466106843982,0.7622108799379942;16.829405801758128,5.979976717095672,0.38752208507875074;11.74508407510876,6.862495108434085,0.7746430497169536;5.364692191569435,11.217723881903565,0.4913585146169696;3.1245622576926975,12.144055697327056,0.7670752644140931;10.337224186065031,15.697677141961139,0.8867520683441806;3.5326717511663643,4.0302536173508505,0.29813383802249843;2.067416893043684,5.829934544737628,0.9720087140730334;15.223418866891754,17.546421812861404,0.3343115931112452;17.153017728136483,10.917706742338712,1.8243038787153716;12.24138398385674,8.37086548055676,0.9438610915295211;15.661359408772,6.067717442427838,2.2661385361252298;12.81943600125953,4.513092065484777,0.4513227686524731;5.962755302217662,9.909337034699398,1.2395022275442473;2.0149284688500955,14.703153792112616,0.2847965602412821;12.73666890644397,14.759637007070658,0.2632326012065245;18.376007493123314,13.497645377083535,0.2769204695229818;11.492632110021997,11.10338750770131,1.738213059360671;7.188218838719877,16.75085073670879,0.3960477975779271;6.800828065384994,16.94095922328021,1.799666839518324;2.3648054846990365,5.742367863677848,1.1712819298949562;16.8418056295843,18.440903143368697,1.2191791015908193"
3,drone_3,3.677,2.430,7.346,13.051,"17.347538911507385,1.2226690076527025,1.2223207135351852;10.495167724800083,9.375466106843982,0.7622108799379942;16.829405801758128,5.979976717095672,0.38752208507875074;11.74508407510876,6.862495108434085,0.7746430497169536;5.364692191569435,11.217723881903565,0.4913585146169696;3.1245622576926975,12.144055697327056,0.7670752644140931;10.337224186065031,15.697677141961139,0.8867520683441806;3.5326717511663643,4.0302536173508505,0.29813383802249843;2.067416893043684,5.829934544737628,0.9720087140730334;15.223418866891754,17.546421812861404,0.3343115931112452;17.153017728136483,10.917706742338712,1.8243038787153716;12.24138398385674,8.37086548055676,0.9438610915295211;15.661359408772,6.067717442427838,2.2661385361252298;12.81943600125953,4.513092065484777,0.4513227686524731;5.962755302217662,9.909337034699398,1.2395022275442473;2.0149284688500955,14.703153792112616,0.2847965602412821;12.73666890644397,14.759637007070658,0.2632326012065245;18.376007493123314,13.497645377083535,0.2769204695229818;11.492632110021997,11.10338750770131,1.738213059360671;7.188218838719877,16.75085073670879,0.3960477975779271;6.800828065384994,16.94095922328021,1.799666839518324;2.3648054846990365,5.742367863677848,1.1712819298949562;16.8418056295843,18.440903143368697,1.2191791015908193"
3,drone_4,6.496,5.102,7.346,13.051,"17.347538911507385,1.2226690076527025,1.2223207135351852;10.495167724800083,9.375466106843982,0.7622108799379942;16.829405801758128,5.979976717095672,0.38752208507875074;11.74508407510876,6.862495108434085,0.7746430497169536;5.364692191569435,11.217723881903565,0.4913585146169696;3.1245622576926975,12.144055697327056,0.7670752644140931;10.337224186065031,15.697677141961139,0.8867520683441806;3.5326717511663643,4.0302536173508505,0.29813383802249843;2.067416893043684,5.829934544737628,0.9720087140730334;15.223418866891754,17.546421812861404,0.3343115931112452;17.153017728136483,10.917706742338712,1.8243038787153716;12.24138398385674,8.37086548055676,0.9438610915295211;15.661359408772,6.067717442427838,2.2661385361252298;12.81943600125953,4.513092065484777,0.4513227686524731;5.962755302217662,9.909337034699398,1.2395022275442473;2.0149284688500955,14.703153792112616,0.2847965602412821;12.73666890644397,14.759637007070658,0.2632326012065245;18.376007493123314,13.497645377083535,0.2769204695229818;11.492632110021997,11.10338750770131,1.738213059360671;7.188218838719877,16.75085073670879,0.3960477975779271;6.800828065384994,16.94095922328021,1.799666839518324;2.3648054846990365,5.742367863677848,1.1712819298949562;16.8418056295843,18.440903143368697,1.2191791015908193"
