Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
12,drone_9,13.943,8.373,7.436,9.336,"2.5322693506976233,1.9415165401910195,1.2222400864276382;11.759974989122254,3.483162936847061,2.4779520788088263;13.907305463349285,1.3476588957546147,0.9224843551732972;17.465412604524055,13.632422556275491,0.7274302128510235;3.1810587373434993,13.057838661403759,1.2835739410120355;0.42533997339058377,18.512436161623473,0.40069576796451956;6.637316459863196,6.669191445976994,0.46375554902087873;17.449573730746028,2.795382600977766,0.9032742894116174;11.14245802091059,1.8360651134849961,0.20712764944372997;1.4035607619432124,15.027589695200462,1.283757363820135;17.615333335615144,15.174060191766683,0.30928350759759693;17.04675993766036,8.402143980943643,0.3141198611680527;7.318380468640842,12.58305687867437,1.2213488624820208;17.443723691486703,7.14141617981007,0.4560482301451121;11.74442644426753,1.3364578827785885,0.20265444133054059;6.234403492450601,16.857168757260773,2.0154301629975135;4.6648092414936695,1.662590231196529,0.35487095924766376;12.324391703672962,15.630842091505492,2.033983537026532;10.721403402236739,11.643801990395122,1.701302759006329"
13,drone_0,13.696,7.082,7.436,9.336,"2.5322693506976233,1.9415165401910195,1.2222400864276382;11.759974989122254,3.483162936847061,2.4779520788088263;13.907305463349285,1.3476588957546147,0.9224843551732972;17.465412604524055,13.632422556275491,0.7274302128510235;3.1810587373434993,13.057838661403759,1.2835739410120355;0.42533997339058377,18.512436161623473,0.40069576796451956;6.637316459863196,6.669191445976994,0.46375554902087873;17.449573730746028,2.795382600977766,0.9032742894116174;11.14245802091059,1.8360651134849961,0.20712764944372997;1.4035607619432124,15.027589695200462,1.283757363820135;17.615333335615144,15.174060191766683,0.30928350759759693;17.04675993766036,8.402143980943643,0.3141198611680527;7.318380468640842,12.58305687867437,1.2213488624820208;17.443723691486703,7.14141617981007,0.4560482301451121;11.74442644426753,1.3364578827785885,0.20265444133054059;6.234403492450601,16.857168757260773,2.0154301629975135;4.6648092414936695,1.662590231196529,0.35487095924766376;12.324391703672962,15.630842091505492,2.033983537026532;10.721403402236739,11.643801990395122,1.701302759006329"
13,drone_1,15.249,9.502,7.436,9.336,"2.5322693506976233,1.9415165401910195,1.2222400864276382;11.759974989122254,3.483162936847061,2.4779520788088263;13.907305463349285,1.3476588957546147,0.9224843551732972;17.465412604524055,13.632422556275491,0.7274302128510235;3.1810587373434993,13.057838661403759,1.2835739410120355;0.42533997339058377,18.512436161623473,0.40069576796451956;6.637316459863196,6.669191445976994,0.46375554902087873;17.449573730746028,2.795382600977766,0.9032742894116174;11.14245802091059,1.8360651134849961,0.20712764944372997;1.4035607619432124,15.027589695200462,1.283757363820135;17.615333335615144,15.174060191766683,0.30928350759759693;17.04675993766036,8.402143980943643,0.3141198611680527;7.318380468640842,12.58305687867437,1.2213488624820208;17.443723691486703,7.14141617981007,0.4560482301451121;11.74442644426753,1.3364578827785885,0.20265444133054059;6.234403492450601,16.857168757260773,2.0154301629975135;4.6648092414936695,1.662590231196529,0.35487095924766376;12.324391703672962,15.630842091505492,2.033983537026532;10.721403402236739,11.643801990395122,1.701302759006329"
13,drone_2,15.854,8.784,7.436,9.336,"2.5322693506976233,1.9415165401910195,1.2222400864276382;11.759974989122254,3.483162936847061,2.4779520788088263;13.907305463349285,1.3476588957546147,0.9224843551732972;17.465412604524055,13.632422556275491,0.7274302128510235;3.1810587373434993,13.057838661403759,1.2835739410120355;0.42533997339058377,18.512436161623473,0.40069576796451956;6.637316459863196,6.669191445976994,0.46375554902087873;17.449573730746028,2.795382600977766,0.9032742894116174;11.14245802091059,1.8360651134849961,0.20712764944372997;1.4035607619432124,15.027589695200462,1.283757363820135;17.615333335615144,15.174060191766683,0.30928350759759693;17.04675993766036,8.402143980943643,0.3141198611680527;7.318380468640842,12.58305687867437,1.2213488624820208;17.443723691486703,7.14141617981007,0.4560482301451121;11.74442644426753,1.3364578827785885,0.20265444133054059;6.234403492450601,16.857168757260773,2.0154301629975135;4.6648092414936695,1.662590231196529,0.35487095924766376;12.324391703672962,15.630842091505492,2.033983537026532;10.721403402236739,11.643801990395122,1.701302759006329"
13,drone_3,13.792,7.644,7.436,9.336,"2.5322693506976233,1.9415165401910195,1.2222400864276382;11.759974989122254,3.483162936847061,2.4779520788088263;13.907305463349285,1.3476588957546147,0.9224843551732972;17.465412604524055,13.632422556275491,0.7274302128510235;3.1810587373434993,13.057838661403759,1.2835739410120355;0.42533997339058377,18.512436161623473,0.40069576796451956;6.637316459863196,6.669191445976994,0.46375554902087873;17.449573730746028,2.795382600977766,0.9032742894116174;11.14245802091059,1.8360651134849961,0.20712764944372997;1.4035607619432124,15.027589695200462,1.283757363820135;17.615333335615144,15.174060191766683,0.30928350759759693;17.04675993766036,8.402143980943643,0.3141198611680527;7.318380468640842,12.58305687867437,1.2213488624820208;17.443723691486703,7.14141617981007,0.4560482301451121;11.74442644426753,1.3364578827785885,0.20265444133054059;6.234403492450601,16.857168757260773,2.0154301629975135;4.6648092414936695,1.662590231196529,0.35487095924766376;12.324391703672962,15.630842091505492,2.033983537026532;10.721403402236739,11.643801990395122,1.701302759006329"
13,drone_4,14.212,6.577,7.436,9.336,"2.5322693506976233,1.9415165401910195,1.2222400864276382;11.759974989122254,3.483162936847061,2.4779520788088263;13.907305463349285,1.3476588957546147,0.9224843551732972;17.465412604524055,13.632422556275491,0.7274302128510235;3.1810587373434993,13.057838661403759,1.2835739410120355;0.42533997339058377,18.512436161623473,0.40069576796451956;6.637316459863196,6.669191445976994,0.46375554902087873;17.449573730746028,2.795382600977766,0.9032742894116174;11.14245802091059,1.8360651134849961,0.20712764944372997;1.4035607619432124,15.027589695200462,1.283757363820135;17.615333335615144,15.174060191766683,0.30928350759759693;17.04675993766036,8.402143980943643,0.3141198611680527;7.318380468640842,12.58305687867437,1.2213488624820208;17.443723691486703,7.14141617981007,0.4560482301451121;11.74442644426753,1.3364578827785885,0.20265444133054059;6.234403492450601,16.857168757260773,2.0154301629975135;4.6648092414936695,1.662590231196529,0.35487095924766376;12.324391703672962,15.630842091505492,2.033983537026532;10.721403402236739,11.643801990395122,1.701302759006329"
13,drone_5,13.399,9.302,7.436,9.336,"2.5322693506976233,1.9415165401910195,1.2222400864276382;11.759974989122254,3.483162936847061,2.4779520788088263;13.907305463349285,1.3476588957546147,0.9224843551732972;17.465412604524055,13.632422556275491,0.7274302128510235;3.1810587373434993,13.057838661403759,1.2835739410120355;0.42533997339058377,18.512436161623473,0.40069576796451956;6.637316459863196,6.669191445976994,0.46375554902087873;17.449573730746028,2.795382600977766,0.9032742894116174;11.14245802091059,1.8360651134849961,0.20712764944372997;1.4035607619432124,15.027589695200462,1.283757363820135;17.615333335615144,15.174060191766683,0.30928350759759693;17.04675993766036,8.402143980943643,0.3141198611680527;7.318380468640842,12.58305687867437,1.2213488624820208;17.443723691486703,7.14141617981007,0.4560482301451121;11.74442644426753,1.3364578827785885,0.20265444133054059;6.234403492450601,16.857168757260773,2.0154301629975135;4.6648092414936695,1.662590231196529,0.35487095924766376;12.324391703672962,15.630842091505492,2.033983537026532;10.721403402236739,11.643801990395122,1.701302759006329"
13,drone_6,16.767,9.698,7.436,9.336,"2.5322693506976233,1.9415165401910195,1.2222400864276382;11.759974989122254,3.483162936847061,2.4779520788088263;13.907305463349285,1.3476588957546147,0.9224843551732972;17.465412604524055,13.632422556275491,0.7274302128510235;3.1810587373434993,13.057838661403759,1.2835739410120355;0.42533997339058377,18.512436161623473,0.40069576796451956;6.637316459863196,6.669191445976994,0.46375554902087873;17.449573730746028,2.795382600977766,0.9032742894116174;11.14245802091059,1.8360651134849961,0.20712764944372997;1.4035607619432124,15.027589695200462,1.283757363820135;17.615333335615144,15.174060191766683,0.30928350759759693;17.04675993766036,8.402143980943643,0.3141198611680527;7.318380468640842,12.58305687867437,1.2213488624820208;17.443723691486703,7.14141617981007,0.4560482301451121;11.74442644426753,1.3364578827785885,0.20265444133054059;6.234403492450601,16.857168757260773,2.0154301629975135;4.6648092414936695,1.662590231196529,0.35487095924766376;12.324391703672962,15.630842091505492,2.033983537026532;10.721403402236739,11.643801990395122,1.701302759006329"
13,drone_7,14.618,8.849,7.436,9.336,"2.5322693506976233,1.9415165401910195,1.2222400864276382;11.759974989122254,3.483162936847061,2.4779520788088263;13.907305463349285,1.3476588957546147,0.9224843551732972;17.465412604524055,13.632422556275491,0.7274302128510235;3.1810587373434993,13.057838661403759,1.2835739410120355;0.42533997339058377,18.512436161623473,0.40069576796451956;6.637316459863196,6.669191445976994,0.46375554902087873;17.449573730746028,2.795382600977766,0.9032742894116174;11.14245802091059,1.8360651134849961,0.20712764944372997;1.4035607619432124,15.027589695200462,1.283757363820135;17.615333335615144,15.174060191766683,0.30928350759759693;17.04675993766036,8.402143980943643,0.3141198611680527;7.318380468640842,12.58305687867437,1.2213488624820208;17.443723691486703,7.14141617981007,0.4560482301451121;11.74442644426753,1.3364578827785885,0.20265444133054059;6.234403492450601,16.857168757260773,2.0154301629975135;4.6648092414936695,1.662590231196529,0.35487095924766376;12.324391703672962,15.630842091505492,2.033983537026532;10.721403402236739,11.643801990395122,1.701302759006329"
13,drone_8,16.979,6.182,7.436,9.336,"2.5322693506976233,1.9415165401910195,1.2222400864276382;11.759974989122254,3.483162936847061,2.4779520788088263;13.907305463349285,1.3476588957546147,0.9224843551732972;17.465412604524055,13.632422556275491,0.7274302128510235;3.1810587373434993,13.057838661403759,1.2835739410120355;0.42533997339058377,18.512436161623473,0.40069576796451956;6.637316459863196,6.669191445976994,0.46375554902087873;17.449573730746028,2.795382600977766,0.9032742894116174;11.14245802091059,1.8360651134849961,0.20712764944372997;1.4035607619432124,15.027589695200462,1.283757363820135;17.615333335615144,15.174060191766683,0.30928350759759693;17.04675993766036,8.402143980943643,0.3141198611680527;7.318380468640842,12.58305687867437,1.2213488624820208;17.443723691486703,7.14141617981007,0.4560482301451121;11.74442644426753,1.3364578827785885,0.20265444133054059;6.234403492450601,16.857168757260773,2.0154301629975135;4.6648092414936695,1.662590231196529,0.35487095924766376;12.324391703672962,15.630842091505492,2.033983537026532;10.721403402236739,11.643801990395122,1.701302759006329"
13,drone_9,13.798,8.343,7.436,9.336,"2.5322693506976233,1.9415165401910195,1.2222400864276382;11.759974989122254,3.483162936847061,2.4779520788088263;13.907305463349285,1.3476588957546147,0.9224843551732972;17.465412604524055,13.632422556275491,0.7274302128510235;3.1810587373434993,13.057838661403759,1.2835739410120355;0.42533997339058377,18.512436161623473,0.40069576796451956;6.637316459863196,6.669191445976994,0.46375554902087873;17.449573730746028,2.795382600977766,0.9032742894116174;11.14245802091059,1.8360651134849961,0.20712764944372997;1.4035607619432124,15.027589695200462,1.283757363820135;17.615333335615144,15.174060191766683,0.30928350759759693;17.04675993766036,8.402143980943643,0.3141198611680527;7.318380468640842,12.58305687867437,1.2213488624820208;17.443723691486703,7.14141617981007,0.4560482301451121;11.74442644426753,1.3364578827785885,0.20265444133054059;6.234403492450601,16.857168757260773,2.0154301629975135;4.6648092414936695,1.662590231196529,0.35487095924766376;12.324391703672962,15.630842091505492,2.033983537026532;10.721403402236739,11.643801990395122,1.701302759006329"
14,drone_0,13.553,7.046,7.436,9.336,"2.5322693506976233,1.9415165401910195,1.2222400864276382;11.759974989122254,3.483162936847061,2.4779520788088263;13.907305463349285,1.3476588957546147,0.9224843551732972;17.465412604524055,13.632422556275491,0.7274302128510235;3.1810587373434993,13.057838661403759,1.2835739410120355;0.42533997339058377,18.512436161623473,0.40069576796451956;6.637316459863196,6.669191445976994,0.46375554902087873;17.449573730746028,2.795382600977766,0.9032742894116174;11.14245802091059,1.8360651134849961,0.20712764944372997;1.4035607619432124,15.027589695200462,1.283757363820135;17.615333335615144,15.174060191766683,0.30928350759759693;17.04675993766036,8.402143980943643,0.3141198611680527;7.318380468640842,12.58305687867437,1.2213488624820208;17.443723691486703,7.14141617981007,0.4560482301451121;11.74442644426753,1.3364578827785885,0.20265444133054059;6.234403492450601,16.857168757260773,2.0154301629975135;4.6648092414936695,1.662590231196529,0.35487095924766376;12.324391703672962,15.630842091505492,2.033983537026532;10.721403402236739,11.643801990395122,1.701302759006329"
14,drone_1,15.113,9.444,7.436,9.336,"2.5322693506976233,1.9415165401910195,1.2222400864276382;11.759974989122254,3.483162936847061,2.4779520788088263;13.907305463349285,1.3476588957546147,0.9224843551732972;17.465412604524055,13.632422556275491,0.7274302128510235;3.1810587373434993,13.057838661403759,1.2835739410120355;0.42533997339058377,18.512436161623473,0.40069576796451956;6.637316459863196,6.669191445976994,0.46375554902087873;17.449573730746028,2.795382600977766,0.9032742894116174;11.14245802091059,1.8360651134849961,0.20712764944372997;1.4035607619432124,15.027589695200462,1.283757363820135;17.615333335615144,15.174060191766683,0.30928350759759693;17.04675993766036,8.402143980943643,0.3141198611680527;7.318380468640842,12.58305687867437,1.2213488624820208;17.443723691486703,7.14141617981007,0.4560482301451121;11.74442644426753,1.3364578827785885,0.20265444133054059;6.234403492450601,16.857168757260773,2.0154301629975135;4.6648092414936695,1.662590231196529,0.35487095924766376;12.324391703672962,15.630842091505492,2.033983537026532;10.721403402236739,11.643801990395122,1.701302759006329"
14,drone_2,15.688,8.741,7.436,9.336,"2.5322693506976233,1.9415165401910195,1.2222400864276382;11.759974989122254,3.483162936847061,2.4779520788088263;13.907305463349285,1.3476588957546147,0.9224843551732972;17.465412604524055,13.632422556275491,0.7274302128510235;3.1810587373434993,13.057838661403759,1.2835739410120355;0.42533997339058377,18.512436161623473,0.40069576796451956;6.637316459863196,6.669191445976994,0.46375554902087873;17.449573730746028,2.795382600977766,0.9032742894116174;11.14245802091059,1.8360651134849961,0.20712764944372997;1.4035607619432124,15.027589695200462,1.283757363820135;17.615333335615144,15.174060191766683,0.30928350759759693;17.04675993766036,8.402143980943643,0.3141198611680527;7.318380468640842,12.58305687867437,1.2213488624820208;17.443723691486703,7.14141617981007,0.4560482301451121;11.74442644426753,1.3364578827785885,0.20265444133054059;6.234403492450601,16.857168757260773,2.0154301629975135;4.6648092414936695,1.662590231196529,0.35487095924766376;12.324391703672962,15.630842091505492,2.033983537026532;10.721403402236739,11.643801990395122,1.701302759006329"
