Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
11,drone_1,-100.0000,-100.0000,3.8218,9.1539,"14.508,8.327,0.494;16.592,18.539,1.147;19.237,2.456,0.941;15.358,4.043,0.235;11.698,6.370,1.916;8.932,6.592,0.927;18.703,5.004,0.340;1.655,2.263,1.702;13.042,18.010,2.200;15.915,10.320,1.321;9.713,11.928,0.605;11.140,9.115,2.456;11.467,13.995,1.354;3.806,18.935,0.664;14.761,0.929,0.748;10.566,18.697,0.450;8.639,2.759,2.028;17.122,9.383,0.370;10.707,9.806,1.941;18.789,11.516,0.418;5.714,4.984,2.120;13.370,5.611,0.438;12.121,19.637,0.350;8.784,7.042,0.612;19.001,11.912,0.219;9.797,18.737,1.251;15.116,15.542,0.426;12.845,6.178,2.104;13.669,14.073,0.829;14.032,8.647,0.418;16.850,3.545,0.299;7.028,15.418,0.663;6.050,0.343,0.483;7.805,18.251,0.205;2.117,4.632,1.095;15.530,12.152,0.416;15.504,13.221,0.404;0.922,15.326,0.334;9.258,16.784,1.938;10.989,16.497,1.071;14.486,11.189,0.438;11.708,11.577,1.273"
11,drone_2,19.9903,4.9934,3.8218,9.1539,"14.508,8.327,0.494;16.592,18.539,1.147;19.237,2.456,0.941;15.358,4.043,0.235;11.698,6.370,1.916;8.932,6.592,0.927;18.703,5.004,0.340;1.655,2.263,1.702;13.042,18.010,2.200;15.915,10.320,1.321;9.713,11.928,0.605;11.140,9.115,2.456;11.467,13.995,1.354;3.806,18.935,0.664;14.761,0.929,0.748;10.566,18.697,0.450;8.639,2.759,2.028;17.122,9.383,0.370;10.707,9.806,1.941;18.789,11.516,0.418;5.714,4.984,2.120;13.370,5.611,0.438;12.121,19.637,0.350;8.784,7.042,0.612;19.001,11.912,0.219;9.797,18.737,1.251;15.116,15.542,0.426;12.845,6.178,2.104;13.669,14.073,0.829;14.032,8.647,0.418;16.850,3.545,0.299;7.028,15.418,0.663;6.050,0.343,0.483;7.805,18.251,0.205;2.117,4.632,1.095;15.530,12.152,0.416;15.504,13.221,0.404;0.922,15.326,0.334;9.258,16.784,1.938;10.989,16.497,1.071;14.486,11.189,0.438;11.708,11.577,1.273"
11,drone_3,-100.0000,-100.0000,3.8218,9.1539,"14.508,8.327,0.494;16.592,18.539,1.147;19.237,2.456,0.941;15.358,4.043,0.235;11.698,6.370,1.916;8.932,6.592,0.927;18.703,5.004,0.340;1.655,2.263,1.702;13.042,18.010,2.200;15.915,10.320,1.321;9.713,11.928,0.605;11.140,9.115,2.456;11.467,13.995,1.354;3.806,18.935,0.664;14.761,0.929,0.748;10.566,18.697,0.450;8.639,2.759,2.028;17.122,9.383,0.370;10.707,9.806,1.941;18.789,11.516,0.418;5.714,4.984,2.120;13.370,5.611,0.438;12.121,19.637,0.350;8.784,7.042,0.612;19.001,11.912,0.219;9.797,18.737,1.251;15.116,15.542,0.426;12.845,6.178,2.104;13.669,14.073,0.829;14.032,8.647,0.418;16.850,3.545,0.299;7.028,15.418,0.663;6.050,0.343,0.483;7.805,18.251,0.205;2.117,4.632,1.095;15.530,12.152,0.416;15.504,13.221,0.404;0.922,15.326,0.334;9.258,16.784,1.938;10.989,16.497,1.071;14.486,11.189,0.438;11.708,11.577,1.273"
11,drone_4,17.3232,4.5234,3.8218,9.1539,"14.508,8.327,0.494;16.592,18.539,1.147;19.237,2.456,0.941;15.358,4.043,0.235;11.698,6.370,1.916;8.932,6.592,0.927;18.703,5.004,0.340;1.655,2.263,1.702;13.042,18.010,2.200;15.915,10.320,1.321;9.713,11.928,0.605;11.140,9.115,2.456;11.467,13.995,1.354;3.806,18.935,0.664;14.761,0.929,0.748;10.566,18.697,0.450;8.639,2.759,2.028;17.122,9.383,0.370;10.707,9.806,1.941;18.789,11.516,0.418;5.714,4.984,2.120;13.370,5.611,0.438;12.121,19.637,0.350;8.784,7.042,0.612;19.001,11.912,0.219;9.797,18.737,1.251;15.116,15.542,0.426;12.845,6.178,2.104;13.669,14.073,0.829;14.032,8.647,0.418;16.850,3.545,0.299;7.028,15.418,0.663;6.050,0.343,0.483;7.805,18.251,0.205;2.117,4.632,1.095;15.530,12.152,0.416;15.504,13.221,0.404;0.922,15.326,0.334;9.258,16.784,1.938;10.989,16.497,1.071;14.486,11.189,0.438;11.708,11.577,1.273"
11,drone_5,19.1093,5.0358,3.8218,9.1539,"14.508,8.327,0.494;16.592,18.539,1.147;19.237,2.456,0.941;15.358,4.043,0.235;11.698,6.370,1.916;8.932,6.592,0.927;18.703,5.004,0.340;1.655,2.263,1.702;13.042,18.010,2.200;15.915,10.320,1.321;9.713,11.928,0.605;11.140,9.115,2.456;11.467,13.995,1.354;3.806,18.935,0.664;14.761,0.929,0.748;10.566,18.697,0.450;8.639,2.759,2.028;17.122,9.383,0.370;10.707,9.806,1.941;18.789,11.516,0.418;5.714,4.984,2.120;13.370,5.611,0.438;12.121,19.637,0.350;8.784,7.042,0.612;19.001,11.912,0.219;9.797,18.737,1.251;15.116,15.542,0.426;12.845,6.178,2.104;13.669,14.073,0.829;14.032,8.647,0.418;16.850,3.545,0.299;7.028,15.418,0.663;6.050,0.343,0.483;7.805,18.251,0.205;2.117,4.632,1.095;15.530,12.152,0.416;15.504,13.221,0.404;0.922,15.326,0.334;9.258,16.784,1.938;10.989,16.497,1.071;14.486,11.189,0.438;11.708,11.577,1.273"
12,drone_2,20.0000,4.8628,3.8218,9.1539,"14.508,8.327,0.494;16.592,18.539,1.147;19.237,2.456,0.941;15.358,4.043,0.235;11.698,6.370,1.916;8.932,6.592,0.927;18.703,5.004,0.340;1.655,2.263,1.702;13.042,18.010,2.200;15.915,10.320,1.321;9.713,11.928,0.605;11.140,9.115,2.456;11.467,13.995,1.354;3.806,18.935,0.664;14.761,0.929,0.748;10.566,18.697,0.450;8.639,2.759,2.028;17.122,9.383,0.370;10.707,9.806,1.941;18.789,11.516,0.418;5.714,4.984,2.120;13.370,5.611,0.438;12.121,19.637,0.350;8.784,7.042,0.612;19.001,11.912,0.219;9.797,18.737,1.251;15.116,15.542,0.426;12.845,6.178,2.104;13.669,14.073,0.829;14.032,8.647,0.418;16.850,3.545,0.299;7.028,15.418,0.663;6.050,0.343,0.483;7.805,18.251,0.205;2.117,4.632,1.095;15.530,12.152,0.416;15.504,13.221,0.404;0.922,15.326,0.334;9.258,16.784,1.938;10.989,16.497,1.071;14.486,11.189,0.438;11.708,11.577,1.273"
12,drone_4,-100.0000,-100.0000,3.8218,9.1539,"14.508,8.327,0.494;16.592,18.539,1.147;19.237,2.456,0.941;15.358,4.043,0.235;11.698,6.370,1.916;8.932,6.592,0.927;18.703,5.004,0.340;1.655,2.263,1.702;13.042,18.010,2.200;15.915,10.320,1.321;9.713,11.928,0.605;11.140,9.115,2.456;11.467,13.995,1.354;3.806,18.935,0.664;14.761,0.929,0.748;10.566,18.697,0.450;8.639,2.759,2.028;17.122,9.383,0.370;10.707,9.806,1.941;18.789,11.516,0.418;5.714,4.984,2.120;13.370,5.611,0.438;12.121,19.637,0.350;8.784,7.042,0.612;19.001,11.912,0.219;9.797,18.737,1.251;15.116,15.542,0.426;12.845,6.178,2.104;13.669,14.073,0.829;14.032,8.647,0.418;16.850,3.545,0.299;7.028,15.418,0.663;6.050,0.343,0.483;7.805,18.251,0.205;2.117,4.632,1.095;15.530,12.152,0.416;15.504,13.221,0.404;0.922,15.326,0.334;9.258,16.784,1.938;10.989,16.497,1.071;14.486,11.189,0.438;11.708,11.577,1.273"
12,drone_5,19.2399,4.9052,3.8218,9.1539,"14.508,8.327,0.494;16.592,18.539,1.147;19.237,2.456,0.941;15.358,4.043,0.235;11.698,6.370,1.916;8.932,6.592,0.927;18.703,5.004,0.340;1.655,2.263,1.702;13.042,18.010,2.200;15.915,10.320,1.321;9.713,11.928,0.605;11.140,9.115,2.456;11.467,13.995,1.354;3.806,18.935,0.664;14.761,0.929,0.748;10.566,18.697,0.450;8.639,2.759,2.028;17.122,9.383,0.370;10.707,9.806,1.941;18.789,11.516,0.418;5.714,4.984,2.120;13.370,5.611,0.438;12.121,19.637,0.350;8.784,7.042,0.612;19.001,11.912,0.219;9.797,18.737,1.251;15.116,15.542,0.426;12.845,6.178,2.104;13.669,14.073,0.829;14.032,8.647,0.418;16.850,3.545,0.299;7.028,15.418,0.663;6.050,0.343,0.483;7.805,18.251,0.205;2.117,4.632,1.095;15.530,12.152,0.416;15.504,13.221,0.404;0.922,15.326,0.334;9.258,16.784,1.938;10.989,16.497,1.071;14.486,11.189,0.438;11.708,11.577,1.273"
13,drone_2,20.0000,4.7323,3.8218,9.1539,"14.508,8.327,0.494;16.592,18.539,1.147;19.237,2.456,0.941;15.358,4.043,0.235;11.698,6.370,1.916;8.932,6.592,0.927;18.703,5.004,0.340;1.655,2.263,1.702;13.042,18.010,2.200;15.915,10.320,1.321;9.713,11.928,0.605;11.140,9.115,2.456;11.467,13.995,1.354;3.806,18.935,0.664;14.761,0.929,0.748;10.566,18.697,0.450;8.639,2.759,2.028;17.122,9.383,0.370;10.707,9.806,1.941;18.789,11.516,0.418;5.714,4.984,2.120;13.370,5.611,0.438;12.121,19.637,0.350;8.784,7.042,0.612;19.001,11.912,0.219;9.797,18.737,1.251;15.116,15.542,0.426;12.845,6.178,2.104;13.669,14.073,0.829;14.032,8.647,0.418;16.850,3.545,0.299;7.028,15.418,0.663;6.050,0.343,0.483;7.805,18.251,0.205;2.117,4.632,1.095;15.530,12.152,0.416;15.504,13.221,0.404;0.922,15.326,0.334;9.258,16.784,1.938;10.989,16.497,1.071;14.486,11.189,0.438;11.708,11.577,1.273"
13,drone_5,-100.0000,-100.0000,3.8218,9.1539,"14.508,8.327,0.494;16.592,18.539,1.147;19.237,2.456,0.941;15.358,4.043,0.235;11.698,6.370,1.916;8.932,6.592,0.927;18.703,5.004,0.340;1.655,2.263,1.702;13.042,18.010,2.200;15.915,10.320,1.321;9.713,11.928,0.605;11.140,9.115,2.456;11.467,13.995,1.354;3.806,18.935,0.664;14.761,0.929,0.748;10.566,18.697,0.450;8.639,2.759,2.028;17.122,9.383,0.370;10.707,9.806,1.941;18.789,11.516,0.418;5.714,4.984,2.120;13.370,5.611,0.438;12.121,19.637,0.350;8.784,7.042,0.612;19.001,11.912,0.219;9.797,18.737,1.251;15.116,15.542,0.426;12.845,6.178,2.104;13.669,14.073,0.829;14.032,8.647,0.418;16.850,3.545,0.299;7.028,15.418,0.663;6.050,0.343,0.483;7.805,18.251,0.205;2.117,4.632,1.095;15.530,12.152,0.416;15.504,13.221,0.404;0.922,15.326,0.334;9.258,16.784,1.938;10.989,16.497,1.071;14.486,11.189,0.438;11.708,11.577,1.273"
