Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
9,drone_0,19.7092,11.1084,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
9,drone_1,13.2465,6.9023,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
9,drone_2,19.4898,1.8615,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
9,drone_9,9.4548,6.9548,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
10,drone_0,19.8506,10.9670,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
10,drone_1,13.3879,6.7609,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
10,drone_2,19.6312,1.7200,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
10,drone_9,9.5962,6.8134,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
11,drone_0,19.9920,10.8256,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
11,drone_1,-100.0000,-100.0000,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
11,drone_2,19.7727,1.5786,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
11,drone_9,9.7377,6.6720,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
12,drone_0,20.0000,10.6842,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
12,drone_2,-100.0000,-100.0000,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
12,drone_9,9.8791,6.5306,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
13,drone_0,20.0000,10.5427,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
13,drone_9,-100.0000,-100.0000,8.0033,10.8477,"11.462,10.181,0.465;19.168,13.359,0.495;17.278,15.340,1.573;9.598,18.607,0.380;19.545,16.791,0.835;12.960,1.372,0.297;11.361,13.064,0.759;3.211,11.098,0.334;2.486,2.083,0.879;5.318,15.425,0.456;11.370,11.620,0.480;3.334,11.081,1.595;7.677,16.794,1.281;14.593,15.815,2.173;3.357,15.187,1.590;2.750,2.386,1.630;4.775,19.419,1.032;10.197,2.927,0.861;14.918,8.484,0.264;4.222,16.450,1.177;12.400,13.087,0.278;18.294,2.065,0.645;18.501,1.229,0.461;12.033,12.585,0.948;5.788,7.328,2.042;2.069,11.845,0.949;11.307,18.056,1.383;2.192,3.979,0.227;4.365,5.954,1.215;19.187,19.290,0.690;7.602,6.753,0.711;18.922,6.833,0.685;18.896,17.912,0.762;16.828,3.021,0.260;8.388,4.617,0.286;2.952,8.205,1.530;11.544,3.013,0.314;3.882,4.296,1.796;14.199,13.790,0.455;13.981,3.099,1.090;12.871,0.739,1.285;14.420,1.673,0.772;8.282,17.848,0.307;14.773,11.719,1.085;2.221,6.435,0.207;12.646,15.568,1.362;12.436,4.928,1.384;10.414,1.806,1.392;10.656,16.508,0.219;11.372,13.651,1.824"
