Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
8,drone_0,8.4852,7.5842,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
8,drone_1,19.9174,16.0162,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
8,drone_2,15.5723,0.1331,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
8,drone_3,7.6850,15.0392,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
8,drone_4,8.3248,6.5299,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
8,drone_5,15.8223,4.0927,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
8,drone_6,10.5350,13.0286,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
8,drone_9,-100.0000,-100.0000,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
9,drone_0,-100.0000,-100.0000,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
9,drone_1,20.0000,15.8747,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
9,drone_2,-100.0000,-100.0000,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
9,drone_3,-100.0000,-100.0000,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
9,drone_4,8.4662,6.3885,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
9,drone_5,15.9637,3.9513,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
9,drone_6,10.6764,12.8871,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
10,drone_1,-100.0000,-100.0000,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
10,drone_4,-100.0000,-100.0000,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
10,drone_5,16.1051,3.8099,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
10,drone_6,10.8179,12.7457,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
11,drone_5,-100.0000,-100.0000,5.4039,10.7719,"2.414,5.860,1.192;18.330,18.228,0.324;13.970,16.621,0.845;14.546,17.033,1.892;15.284,16.825,2.203;9.112,13.139,0.475;3.716,8.737,0.239;0.957,16.896,0.419;15.182,13.858,0.312;7.342,1.301,1.127;8.185,4.158,0.473;4.190,14.185,0.469;3.347,19.526,0.437;13.035,12.657,0.745;4.668,5.305,0.495;3.904,3.637,1.377;15.649,7.853,0.468;2.637,1.921,0.869;13.483,7.891,0.358;17.591,9.176,1.727;7.045,18.886,0.734;18.285,3.738,0.487;1.934,16.986,2.412;7.285,14.248,0.383;12.470,11.768,2.391;0.119,9.137,0.214;17.651,12.960,0.620;16.233,0.333,0.475;12.045,18.410,0.327;14.604,8.369,0.386;15.727,9.484,2.177;0.809,14.378,0.254;12.789,8.929,0.314;8.351,3.013,0.342;11.534,6.785,1.635;4.514,7.349,0.706;8.111,1.891,0.704;13.990,7.768,0.401;19.849,9.954,0.286;10.552,12.149,0.665;15.141,3.004,0.756;6.676,2.376,1.031;5.290,14.598,0.467;16.033,1.891,0.233;5.195,2.508,2.434;6.611,3.750,2.473;4.781,4.469,1.751;7.576,2.167,1.249;16.365,19.752,0.466;14.667,6.246,0.488;11.878,0.564,1.107;4.655,5.580,0.751;10.925,9.307,1.125;15.010,7.638,0.785"
