Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
19,drone_9,12.551,6.188,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
20,drone_0,12.642,7.869,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
20,drone_1,15.534,7.582,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
20,drone_2,13.330,7.684,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
20,drone_3,7.489,16.688,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
20,drone_4,16.337,12.224,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
20,drone_5,7.383,14.847,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
20,drone_6,8.394,16.816,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
20,drone_7,12.729,5.237,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
20,drone_8,11.157,4.746,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
20,drone_9,12.624,6.344,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
21,drone_0,12.697,8.032,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
21,drone_1,15.392,7.722,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
21,drone_2,13.434,7.821,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
21,drone_3,7.650,16.747,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
21,drone_4,16.196,12.365,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
